stock,date,headline,source
TCS,2025-12-12T03:16:56Z,Tata Power shares in focus as company wins transmission project LoI worth Rs 156 crore,The Times of India
TCS,2025-12-11T15:20:32Z,European Stocks Gain With Rotation Into Economy-Linked Sectors,Financial Post
TCS,2025-12-11T13:58:08Z,Intel CEO pushes talent reclaim; Harness' $240mn fundraise,The Times of India
TCS,2025-12-11T08:51:40Z,CNBC's Inside India newsletter: India's $3.3 trillion opportunity for global fund houses,CNBC
TCS,2025-12-11T02:46:08Z,Big tech bets big on AI - but can India keep pace in the global race?,BBC News
TCS,2025-12-10T20:51:25Z,TCS To Acquire US Salesforce Consulting Firm Coastal Cloud For $700 Million,Ndtvprofit.com
TCS,2025-12-10T17:03:55Z,TCS to acquire Coastal Cloud for $700 million,BusinessLine
TCS,2025-12-10T05:06:28Z,"3 excellent ASX ETFs to buy with $3,000 in December",Motley Fool Australia
TCS,2025-12-10T03:18:19Z,Microsoft to spend $17.5B on AI infrastructure to support India’s AI ambitions,SiliconANGLE News
TCS,2025-12-10T01:01:51Z,"Stock Market Highlights 10th December 2025: Sensex, Nifty extend losses for 3rd day as fag-end selloff erases gains",BusinessLine
TCS,2025-12-08T13:28:52Z,H-1B shuts out Indian IT; Meesho's listing gains,The Times of India
TCS,2025-12-08T00:19:07Z,"Will Nifty break past 26,350 for a fresh rally this week?",The Times of India
TCS,2025-12-04T00:30:00Z,OpenAI strives for Tata hand to grow footprint in India,The Times of India
TCS,2025-11-25T03:43:07Z,India's ‘AI losers’ just made investors richer by Rs 2.6 lakh crore & nobody saw the boom coming,The Times of India
TCS,2025-11-24T05:37:14Z,"Infosys, Tech Mahindra, HCL Tech, TCS shares rise up to 3%. Here’s why",The Times of India
TCS,2025-11-24T01:13:41Z,"Stocks in news: IndiGo, TCS, Tata Power, Kotak Bank, Adani Green",The Times of India
TCS,2025-11-22T01:56:14Z,Top tech and startup stories this week,The Times of India
TCS,2025-11-21T01:30:00Z,"Top Business & Market Headlines Today — BL Morning Report, Nov 21, 2025",BusinessLine
TCS,2025-11-21T00:30:00Z,"TCS joins AI, data centre rush with $2 billion TPG alliance, draws gigawatt-scale plans",The Times of India
TCS,2025-11-20T13:35:35Z,Tata Digital overhaul; TCS-TPG data centre JV,The Times of India
TCS,2025-11-20T12:00:09Z,"TCS, TPG join forces in Rs 18,000 cr AI data centre play",The Times of India
TCS,2025-11-20T09:30:12Z,ET Exclusive: TCS looks to rope in TPG for $2 billion AI data centre JV,The Times of India
TCS,2025-11-20T09:30:12Z,ET Exclusive: TCS looks to rope in TPG for $2 billion AI data centre JV,The Times of India
TCS,2025-11-20T02:28:50Z,"Five Stocks To Buy: Coforge, TCS, Ramky Infrastructure, Punjab National Bank, BSE",Ndtvprofit.com
TCS,2025-11-19T10:17:31Z,"Market Wrap: Sensex climbs 513 Points, Nifty reclaims 26,000 as D-St shakes off early weakness on IT strength",The Times of India
TCS,2025-11-19T08:56:09Z,"Amazon, Google Named by EU Among ‘Critical’ Tech Providers for Finance Industry",Insurance Journal
TCS,2025-11-19T07:17:56Z,"IT stocks power market rebound: Sensex jumps 554 pts intraday, Nifty crosses 26,000",BusinessLine
TCS,2025-11-19T04:37:30Z,"Amazon, Google, TCS named by EU among 'critical' tech providers for finance industry",BusinessLine
TCS,2025-11-19T03:02:59Z,Equity benchmarks to open flat on subdued global sentiment,BusinessLine
TCS,2025-11-19T01:02:48Z,"Stock Market Highlights 19 Nov 2025: Stock markets rebound on buying in IT counter; Sensex jumps over 513 points, NIfty 50 climbed 142.60 points to 26,052.65",BusinessLine
TCS,2025-11-18T19:56:15Z,"Amazon, Google named by EU among 'critical' tech providers for finance industry",iTnews
TCS,2025-11-18T19:55:21Z,"Amazon, Google named by EU among 'critical' tech providers for finance industry",iTnews
TCS,2025-11-18T19:51:30Z,"Amazon, Google named by EU among 'critical' tech providers for finance industry",iTnews
TCS,2025-11-18T19:50:50Z,"Amazon, Google named by EU among 'critical' tech providers for finance industry",iTnews
TCS,2025-11-18T19:50:41Z,"Amazon, Google named by EU among 'critical' tech providers for finance industry",iTnews
TCS,2025-11-18T17:25:48Z,"Amazon, Google named by EU among 'critical' tech providers for finance industry",The Times of India
TCS,2025-11-18T17:22:49Z,"Amazon, Google named by EU among 'critical' tech providers for finance industry",Yahoo Entertainment
TCS,2025-11-18T10:03:27Z,Will the IT Sector See Growth in 2026? Here Is What Macquarie's Ravi Menon Has To Say,Ndtvprofit.com
TCS,2025-11-18T00:59:54Z,"Share Market Highlights 18 November 2025: Stock markets halt 6-day rally; Nifty ends below 26,000-mark on profit taking, Sensex dropped by nearly 278 points",BusinessLine
TCS,2025-11-17T13:29:56Z,Groww enters Rs 1 lakh crore club; Ecomm looks for AI edge,The Times of India
TCS,2025-11-17T03:37:37Z,"From Ola to BSE and Tata stocks: Retail investors bet Rs 18,000 crore on these 10 stocks",The Times of India
RELIANCE,2025-12-14T04:09:35Z,"Hong Kong, India fuel blockbuster year for Asia fundraising",Bloomberg
RELIANCE,2025-12-14T03:24:24Z,"Hong Kong, India fuel blockbuster year for Asia fundraising",Livemint
